t=4.33s -> Pos=(10.60) m, Vel=(1.98) m/s, Acel=(-0.06) m/s^2
t=4.37s -> Pos=(10.67) m, Vel=(1.97) m/s, Acel=(-0.13) m/s^2
t=4.40s -> Pos=(10.73) m, Vel=(1.96) m/s, Acel=(-0.12) m/s^2
t=4.43s -> Pos=(10.79) m, Vel=(1.96) m/s, Acel=(-0.06) m/s^2
t=4.47s -> Pos=(10.86) m, Vel=(1.96) m/s, Acel=(0.05) m/s^2
t=4.50s -> Pos=(10.93) m, Vel=(1.97) m/s, Acel=(0.14) m/s^2
t=4.53s -> Pos=(10.99) m, Vel=(1.97) m/s, Acel=(0.18) m/s^2
t=4.57s -> Pos=(11.05) m, Vel=(1.98) m/s, Acel=(0.19) m/s^2
t=4.60s -> Pos=(11.12) m, Vel=(1.99) m/s, Acel=(0.17) m/s^2
t=4.63s -> Pos=(11.19) m, Vel=(1.99) m/s, Acel=(0.14) m/s^2
t=4.67s -> Pos=(11.26) m, Vel=(2.00) m/s, Acel=(0.09) m/s^2
t=4.70s -> Pos=(11.31) m, Vel=(2.00) m/s, Acel=(0.01) m/s^2
t=4.73s -> Pos=(11.38) m, Vel=(2.00) m/s, Acel=(-0.08) m/s^2
t=4.77s -> Pos=(11.46) m, Vel=(2.00) m/s, Acel=(-0.13) m/s^2
t=4.80s -> Pos=(11.52) m, Vel=(1.99) m/s, Acel=(-0.14) m/s^2
t=4.83s -> Pos=(11.59) m, Vel=(1.98) m/s, Acel=(-0.12) m/s^2
t=4.87s -> Pos=(11.65) m, Vel=(1.97) m/s, Acel=(-0.10) m/s^2
t=4.90s -> Pos=(11.71) m, Vel=(1.98) m/s, Acel=(-0.10) m/s^2
t=4.93s -> Pos=(11.78) m, Vel=(1.98) m/s, Acel=(-0.16) m/s^2
t=4.97s -> Pos=(11.86) m, Vel=(1.97) m/s, Acel=(-0.26) m/s^2
t=5.00s -> Pos=(11.91) m, Vel=(1.96) m/s, Acel=(-0.34) m/s^2
t=5.03s -> Pos=(11.98) m, Vel=(1.94) m/s, Acel=(-0.32) m/s^2
t=5.07s -> Pos=(12.05) m, Vel=(1.92) m/s, Acel=(-0.18) m/s^2
t=5.10s -> Pos=(12.10) m, Vel=(1.92) m/s, Acel=(0.03) m/s^2
t=5.13s -> Pos=(12.17) m, Vel=(1.92) m/s, Acel=(0.25) m/s^2
t=5.17s -> Pos=(12.24) m, Vel=(1.94) m/s, Acel=(0.40) m/s^2
t=5.20s -> Pos=(12.29) m, Vel=(1.97) m/s, Acel=(0.38) m/s^2
t=5.23s -> Pos=(12.36) m, Vel=(1.98) m/s, Acel=(0.22) m/s^2
t=5.27s -> Pos=(12.43) m, Vel=(1.99) m/s, Acel=(-0.01) m/s^2
t=5.30s -> Pos=(12.51) m, Vel=(1.98) m/s, Acel=(-0.22) m/s^2
t=5.33s -> Pos=(12.57) m, Vel=(1.96) m/s, Acel=(-0.35) m/s^2
t=5.37s -> Pos=(12.63) m, Vel=(1.94) m/s, Acel=(-0.37) m/s^2
t=5.40s -> Pos=(12.69) m, Vel=(1.93) m/s, Acel=(-0.31) m/s^2
t=5.43s -> Pos=(12.76) m, Vel=(1.93) m/s, Acel=(-0.24) m/s^2
t=5.47s -> Pos=(12.83) m, Vel=(1.92) m/s, Acel=(-0.18) m/s^2
t=5.50s -> Pos=(12.89) m, Vel=(1.92) m/s, Acel=(-0.13) m/s^2
