t=3.87s -> Pos=(5.47) m, Vel=(1.83) m/s, Acel=(-0.25) m/s^2
t=3.90s -> Pos=(5.53) m, Vel=(1.81) m/s, Acel=(-0.22) m/s^2
t=3.93s -> Pos=(5.59) m, Vel=(1.81) m/s, Acel=(-0.16) m/s^2
t=3.97s -> Pos=(5.65) m, Vel=(1.80) m/s, Acel=(-0.07) m/s^2
t=4.00s -> Pos=(5.71) m, Vel=(1.80) m/s, Acel=(-0.00) m/s^2
t=4.03s -> Pos=(5.77) m, Vel=(1.81) m/s, Acel=(0.02) m/s^2
t=4.07s -> Pos=(5.83) m, Vel=(1.81) m/s, Acel=(-0.02) m/s^2
t=4.10s -> Pos=(5.88) m, Vel=(1.81) m/s, Acel=(-0.10) m/s^2
t=4.13s -> Pos=(5.95) m, Vel=(1.81) m/s, Acel=(-0.18) m/s^2
t=4.17s -> Pos=(6.01) m, Vel=(1.79) m/s, Acel=(-0.24) m/s^2
t=4.20s -> Pos=(6.07) m, Vel=(1.78) m/s, Acel=(-0.27) m/s^2
t=4.23s -> Pos=(6.13) m, Vel=(1.77) m/s, Acel=(-0.29) m/s^2
t=4.27s -> Pos=(6.18) m, Vel=(1.77) m/s, Acel=(-0.31) m/s^2
t=4.30s -> Pos=(6.25) m, Vel=(1.76) m/s, Acel=(-0.37) m/s^2
t=4.33s -> Pos=(6.31) m, Vel=(1.75) m/s, Acel=(-0.46) m/s^2
t=4.37s -> Pos=(6.36) m, Vel=(1.73) m/s, Acel=(-0.54) m/s^2
t=4.40s -> Pos=(6.42) m, Vel=(1.70) m/s, Acel=(-0.55) m/s^2
t=4.43s -> Pos=(6.48) m, Vel=(1.68) m/s, Acel=(-0.47) m/s^2
t=4.47s -> Pos=(6.54) m, Vel=(1.66) m/s, Acel=(-0.32) m/s^2
t=4.50s -> Pos=(6.59) m, Vel=(1.66) m/s, Acel=(-0.15) m/s^2
t=4.53s -> Pos=(6.64) m, Vel=(1.66) m/s, Acel=(-0.02) m/s^2
t=4.57s -> Pos=(6.70) m, Vel=(1.66) m/s, Acel=(0.03) m/s^2
t=4.60s -> Pos=(6.75) m, Vel=(1.67) m/s, Acel=(-0.02) m/s^2
t=4.63s -> Pos=(6.81) m, Vel=(1.67) m/s, Acel=(-0.13) m/s^2
t=4.67s -> Pos=(6.87) m, Vel=(1.66) m/s, Acel=(-0.25) m/s^2
t=4.70s -> Pos=(6.92) m, Vel=(1.65) m/s, Acel=(-0.32) m/s^2
t=4.73s -> Pos=(6.98) m, Vel=(1.63) m/s, Acel=(-0.32) m/s^2
t=4.77s -> Pos=(7.03) m, Vel=(1.62) m/s, Acel=(-0.27) m/s^2
t=4.80s -> Pos=(7.08) m, Vel=(1.61) m/s, Acel=(-0.19) m/s^2
t=4.83s -> Pos=(7.14) m, Vel=(1.61) m/s, Acel=(-0.11) m/s^2
t=4.87s -> Pos=(7.19) m, Vel=(1.61) m/s, Acel=(-0.05) m/s^2
