t=4.43s -> Pos=(8.71) m, Vel=(2.43) m/s, Acel=(-0.17) m/s^2
t=4.47s -> Pos=(8.79) m, Vel=(2.42) m/s, Acel=(-0.09) m/s^2
t=4.50s -> Pos=(8.87) m, Vel=(2.42) m/s, Acel=(0.06) m/s^2
t=4.53s -> Pos=(8.95) m, Vel=(2.42) m/s, Acel=(0.23) m/s^2
t=4.57s -> Pos=(9.03) m, Vel=(2.43) m/s, Acel=(0.38) m/s^2
t=4.60s -> Pos=(9.11) m, Vel=(2.45) m/s, Acel=(0.43) m/s^2
t=4.63s -> Pos=(9.19) m, Vel=(2.47) m/s, Acel=(0.20) m/s^2
t=4.67s -> Pos=(9.27) m, Vel=(2.49) m/s, Acel=(-0.53) m/s^2
t=4.70s -> Pos=(9.36) m, Vel=(2.49) m/s, Acel=(-1.86) m/s^2
t=4.73s -> Pos=(9.44) m, Vel=(2.44) m/s, Acel=(-3.50) m/s^2
t=4.77s -> Pos=(9.53) m, Vel=(2.28) m/s, Acel=(-4.98) m/s^2
t=4.80s -> Pos=(9.61) m, Vel=(2.03) m/s, Acel=(-5.98) m/s^2
t=4.83s -> Pos=(9.68) m, Vel=(1.75) m/s, Acel=(-6.39) m/s^2
t=4.87s -> Pos=(9.78) m, Vel=(1.56) m/s, Acel=(-6.43) m/s^2
