t=3.73s -> Pos=(7.71) m, Vel=(2.49) m/s, Acel=(0.21) m/s^2
t=3.77s -> Pos=(7.79) m, Vel=(2.52) m/s, Acel=(0.56) m/s^2
t=3.80s -> Pos=(7.87) m, Vel=(2.55) m/s, Acel=(0.70) m/s^2
t=3.83s -> Pos=(7.97) m, Vel=(2.59) m/s, Acel=(0.61) m/s^2
t=3.87s -> Pos=(8.04) m, Vel=(2.61) m/s, Acel=(0.34) m/s^2
t=3.90s -> Pos=(8.13) m, Vel=(2.61) m/s, Acel=(0.02) m/s^2
t=3.93s -> Pos=(8.23) m, Vel=(2.60) m/s, Acel=(-0.24) m/s^2
t=3.97s -> Pos=(8.31) m, Vel=(2.58) m/s, Acel=(-0.33) m/s^2
t=4.00s -> Pos=(8.40) m, Vel=(2.56) m/s, Acel=(-0.25) m/s^2
t=4.03s -> Pos=(8.48) m, Vel=(2.55) m/s, Acel=(-0.02) m/s^2
t=4.07s -> Pos=(8.57) m, Vel=(2.56) m/s, Acel=(0.26) m/s^2
t=4.10s -> Pos=(8.64) m, Vel=(2.58) m/s, Acel=(0.51) m/s^2
t=4.13s -> Pos=(8.74) m, Vel=(2.60) m/s, Acel=(0.65) m/s^2
t=4.17s -> Pos=(8.82) m, Vel=(2.63) m/s, Acel=(0.64) m/s^2
t=4.20s -> Pos=(8.91) m, Vel=(2.66) m/s, Acel=(0.46) m/s^2
t=4.23s -> Pos=(9.00) m, Vel=(2.67) m/s, Acel=(0.16) m/s^2
t=4.27s -> Pos=(9.10) m, Vel=(2.67) m/s, Acel=(-0.18) m/s^2
t=4.30s -> Pos=(9.18) m, Vel=(2.66) m/s, Acel=(-0.49) m/s^2
t=4.33s -> Pos=(9.28) m, Vel=(2.63) m/s, Acel=(-0.70) m/s^2
t=4.37s -> Pos=(9.35) m, Vel=(2.60) m/s, Acel=(-0.76) m/s^2
t=4.40s -> Pos=(9.44) m, Vel=(2.57) m/s, Acel=(-0.68) m/s^2
t=4.43s -> Pos=(9.53) m, Vel=(2.54) m/s, Acel=(-0.50) m/s^2
t=4.47s -> Pos=(9.61) m, Vel=(2.53) m/s, Acel=(-0.26) m/s^2
t=4.50s -> Pos=(9.69) m, Vel=(2.53) m/s, Acel=(0.00) m/s^2
t=4.53s -> Pos=(9.79) m, Vel=(2.53) m/s, Acel=(0.25) m/s^2
t=4.57s -> Pos=(9.87) m, Vel=(2.55) m/s, Acel=(0.43) m/s^2
t=4.60s -> Pos=(9.94) m, Vel=(2.57) m/s, Acel=(0.51) m/s^2
t=4.63s -> Pos=(10.03) m, Vel=(2.59) m/s, Acel=(0.48) m/s^2
t=4.67s -> Pos=(10.12) m, Vel=(2.61) m/s, Acel=(0.35) m/s^2
t=4.70s -> Pos=(10.21) m, Vel=(2.62) m/s, Acel=(0.17) m/s^2
t=4.73s -> Pos=(10.30) m, Vel=(2.62) m/s, Acel=(0.01) m/s^2
t=4.77s -> Pos=(10.39) m, Vel=(2.61) m/s, Acel=(-0.09) m/s^2
t=4.80s -> Pos=(10.47) m, Vel=(2.60) m/s, Acel=(-0.09) m/s^2
t=4.83s -> Pos=(10.56) m, Vel=(2.60) m/s, Acel=(-0.00) m/s^2
t=4.87s -> Pos=(10.64) m, Vel=(2.60) m/s, Acel=(0.14) m/s^2
t=4.90s -> Pos=(10.73) m, Vel=(2.61) m/s, Acel=(0.29) m/s^2
t=4.93s -> Pos=(10.82) m, Vel=(2.62) m/s, Acel=(0.41) m/s^2
t=4.97s -> Pos=(10.90) m, Vel=(2.64) m/s, Acel=(0.46) m/s^2
t=5.00s -> Pos=(10.99) m, Vel=(2.66) m/s, Acel=(0.42) m/s^2
t=5.03s -> Pos=(11.08) m, Vel=(2.68) m/s, Acel=(0.30) m/s^2
t=5.07s -> Pos=(11.17) m, Vel=(2.69) m/s, Acel=(0.11) m/s^2
t=5.10s -> Pos=(11.26) m, Vel=(2.69) m/s, Acel=(-0.08) m/s^2
t=5.13s -> Pos=(11.36) m, Vel=(2.68) m/s, Acel=(-0.20) m/s^2
t=5.17s -> Pos=(11.44) m, Vel=(2.66) m/s, Acel=(-0.24) m/s^2
t=5.20s -> Pos=(11.53) m, Vel=(2.65) m/s, Acel=(-0.20) m/s^2
t=5.23s -> Pos=(11.61) m, Vel=(2.65) m/s, Acel=(-0.09) m/s^2
t=5.27s -> Pos=(11.71) m, Vel=(2.65) m/s, Acel=(0.03) m/s^2
t=5.30s -> Pos=(11.79) m, Vel=(2.65) m/s, Acel=(0.10) m/s^2
t=5.33s -> Pos=(11.89) m, Vel=(2.66) m/s, Acel=(0.09) m/s^2
t=5.37s -> Pos=(11.96) m, Vel=(2.67) m/s, Acel=(0.02) m/s^2
t=5.40s -> Pos=(12.06) m, Vel=(2.67) m/s, Acel=(-0.09) m/s^2
t=5.43s -> Pos=(12.16) m, Vel=(2.66) m/s, Acel=(-0.22) m/s^2
t=5.47s -> Pos=(12.24) m, Vel=(2.65) m/s, Acel=(-0.33) m/s^2
t=5.50s -> Pos=(12.32) m, Vel=(2.63) m/s, Acel=(-0.38) m/s^2
t=5.53s -> Pos=(12.42) m, Vel=(2.62) m/s, Acel=(-0.38) m/s^2
t=5.57s -> Pos=(12.50) m, Vel=(2.60) m/s, Acel=(-0.37) m/s^2
t=5.60s -> Pos=(12.59) m, Vel=(2.59) m/s, Acel=(-0.34) m/s^2
t=5.63s -> Pos=(12.67) m, Vel=(2.58) m/s, Acel=(-0.29) m/s^2
t=5.67s -> Pos=(12.76) m, Vel=(2.57) m/s, Acel=(-0.21) m/s^2
t=5.70s -> Pos=(12.84) m, Vel=(2.56) m/s, Acel=(-0.12) m/s^2
t=5.73s -> Pos=(12.94) m, Vel=(2.56) m/s, Acel=(-0.05) m/s^2
t=5.77s -> Pos=(13.01) m, Vel=(2.57) m/s, Acel=(0.02) m/s^2
t=5.80s -> Pos=(13.10) m, Vel=(2.57) m/s, Acel=(0.02) m/s^2
t=5.83s -> Pos=(13.19) m, Vel=(2.57) m/s, Acel=(-0.26) m/s^2
t=5.87s -> Pos=(13.26) m, Vel=(2.57) m/s, Acel=(-1.01) m/s^2
t=5.90s -> Pos=(13.36) m, Vel=(2.56) m/s, Acel=(-2.31) m/s^2
t=5.93s -> Pos=(13.45) m, Vel=(2.49) m/s, Acel=(-3.89) m/s^2
t=5.97s -> Pos=(13.52) m, Vel=(2.31) m/s, Acel=(-5.31) m/s^2
t=6.00s -> Pos=(13.61) m, Vel=(2.06) m/s, Acel=(-6.25) m/s^2
t=6.03s -> Pos=(13.69) m, Vel=(1.77) m/s, Acel=(-6.61) m/s^2
t=6.07s -> Pos=(13.78) m, Vel=(1.58) m/s, Acel=(-6.62) m/s^2
