t=4.60s -> Pos=(9.14) m, Vel=(0.82) m/s, Acel=(-0.05) m/s^2
t=4.63s -> Pos=(9.17) m, Vel=(0.82) m/s, Acel=(-0.08) m/s^2
t=4.67s -> Pos=(9.20) m, Vel=(0.82) m/s, Acel=(-0.11) m/s^2
t=4.70s -> Pos=(9.22) m, Vel=(0.81) m/s, Acel=(-0.11) m/s^2
t=4.73s -> Pos=(9.24) m, Vel=(0.81) m/s, Acel=(-0.08) m/s^2
t=4.77s -> Pos=(9.28) m, Vel=(0.80) m/s, Acel=(-0.04) m/s^2
t=4.80s -> Pos=(9.30) m, Vel=(0.81) m/s, Acel=(-0.01) m/s^2
t=4.83s -> Pos=(9.33) m, Vel=(0.81) m/s, Acel=(-0.03) m/s^2
t=4.87s -> Pos=(9.36) m, Vel=(0.81) m/s, Acel=(-0.10) m/s^2
t=4.90s -> Pos=(9.38) m, Vel=(0.81) m/s, Acel=(-0.23) m/s^2
t=4.93s -> Pos=(9.41) m, Vel=(0.80) m/s, Acel=(-0.38) m/s^2
t=4.97s -> Pos=(9.44) m, Vel=(0.78) m/s, Acel=(-0.51) m/s^2
t=5.00s -> Pos=(9.46) m, Vel=(0.76) m/s, Acel=(-0.58) m/s^2
t=5.03s -> Pos=(9.49) m, Vel=(0.73) m/s, Acel=(-0.56) m/s^2
t=5.07s -> Pos=(9.51) m, Vel=(0.71) m/s, Acel=(-0.48) m/s^2
t=5.10s -> Pos=(9.53) m, Vel=(0.70) m/s, Acel=(-0.38) m/s^2
t=5.13s -> Pos=(9.56) m, Vel=(0.69) m/s, Acel=(-0.30) m/s^2
t=5.17s -> Pos=(9.58) m, Vel=(0.69) m/s, Acel=(-0.29) m/s^2
t=5.20s -> Pos=(9.60) m, Vel=(0.68) m/s, Acel=(-0.34) m/s^2
t=5.23s -> Pos=(9.63) m, Vel=(0.67) m/s, Acel=(-0.40) m/s^2
t=5.27s -> Pos=(9.65) m, Vel=(0.65) m/s, Acel=(-0.42) m/s^2
t=5.30s -> Pos=(9.67) m, Vel=(0.63) m/s, Acel=(-0.40) m/s^2
t=5.33s -> Pos=(9.69) m, Vel=(0.62) m/s, Acel=(-0.34) m/s^2
t=5.37s -> Pos=(9.70) m, Vel=(0.61) m/s, Acel=(-0.29) m/s^2
t=5.40s -> Pos=(9.74) m, Vel=(0.60) m/s, Acel=(-0.29) m/s^2
t=5.43s -> Pos=(9.74) m, Vel=(0.60) m/s, Acel=(-0.37) m/s^2
t=5.47s -> Pos=(9.77) m, Vel=(0.59) m/s, Acel=(-0.50) m/s^2
t=5.50s -> Pos=(9.79) m, Vel=(0.56) m/s, Acel=(-0.63) m/s^2
t=5.53s -> Pos=(9.81) m, Vel=(0.54) m/s, Acel=(-0.72) m/s^2
t=5.57s -> Pos=(9.82) m, Vel=(0.51) m/s, Acel=(-0.75) m/s^2
t=5.60s -> Pos=(9.84) m, Vel=(0.48) m/s, Acel=(-0.71) m/s^2
t=5.63s -> Pos=(9.86) m, Vel=(0.46) m/s, Acel=(-0.64) m/s^2
